participant_id,statement_id,issue_context,statement_true,explanation_condition,pre_belief_rating,post_belief_rating,topic_knowledge,pre_truth_aligned_accuracy,post_truth_aligned_accuracy,accuracy_change
P0005,gun_control,controversial,FALSE,deceptive,2,2,6,6,6,0
P0005,lightning,neutral,FALSE,accurate,4,4,4,4,4,0
P0005,vaccines,controversial,FALSE,deceptive,1,1,5,7,7,0
P0005,water_boil,neutral,TRUE,accurate,7,7,5,7,7,0
P0006,bones,neutral,TRUE,accurate,7,7,6,7,7,0
P0006,climate,controversial,TRUE,accurate,6,6,5,6,6,0
P0006,election,controversial,TRUE,deceptive,6,6,6,6,6,0
P0006,great_wall,neutral,FALSE,deceptive,3,4,1,5,4,-1
P0006,gun_control,controversial,FALSE,accurate,4,5,5,4,3,-1
P0006,lightning,neutral,FALSE,accurate,5,4,3,3,4,1
P0006,vaccines,controversial,FALSE,accurate,3,3,4,5,5,0
P0006,water_boil,neutral,TRUE,accurate,5,5,4,5,5,0
P0007,bones,neutral,TRUE,deceptive,4,4,1,4,4,0
P0007,climate,controversial,TRUE,deceptive,5,4,3,5,4,-1
P0007,election,controversial,TRUE,deceptive,6,4,3,6,4,-2
P0007,great_wall,neutral,FALSE,deceptive,4,4,2,4,4,0
P0007,gun_control,controversial,FALSE,deceptive,2,4,3,6,4,-2
P0007,lightning,neutral,FALSE,deceptive,2,4,1,6,4,-2
P0007,vaccines,controversial,FALSE,deceptive,4,4,3,4,4,0
P0007,water_boil,neutral,TRUE,accurate,4,4,1,4,4,0
P0008,bones,neutral,TRUE,deceptive,2,2,1,2,2,0
P0008,climate,controversial,TRUE,accurate,3,6,2,3,6,3
P0008,election,controversial,TRUE,accurate,4,3,1,4,3,-1
P0008,great_wall,neutral,FALSE,accurate,3,3,1,5,5,0
P0008,gun_control,controversial,FALSE,accurate,4,4,4,4,4,0
P0008,lightning,neutral,FALSE,accurate,3,1,2,5,7,2
P0008,vaccines,controversial,FALSE,deceptive,4,2,3,4,6,2
P0008,water_boil,neutral,TRUE,deceptive,4,3,3,4,3,-1
P0009,bones,neutral,TRUE,deceptive,6,6,3,6,6,0
P0009,climate,controversial,TRUE,deceptive,7,7,7,7,7,0
P0009,election,controversial,TRUE,deceptive,7,7,7,7,7,0
P0009,great_wall,neutral,FALSE,accurate,3,2,2,5,6,1
P0009,gun_control,controversial,FALSE,accurate,1,1,7,7,7,0
P0009,lightning,neutral,FALSE,accurate,1,1,5,7,7,0
P0009,vaccines,controversial,FALSE,deceptive,1,1,7,7,7,0
P0009,water_boil,neutral,TRUE,deceptive,6,5,2,6,5,-1
P0010,bones,neutral,TRUE,accurate,7,7,6,7,7,0
P0010,climate,controversial,TRUE,accurate,6,7,5,6,7,1
P0010,election,controversial,TRUE,deceptive,7,7,7,7,7,0
P0010,great_wall,neutral,FALSE,deceptive,6,7,3,2,1,-1
P0010,gun_control,controversial,FALSE,accurate,1,1,6,7,7,0
P0010,lightning,neutral,FALSE,deceptive,4,6,1,4,2,-2
P0010,vaccines,controversial,FALSE,accurate,1,1,6,7,7,0
P0010,water_boil,neutral,TRUE,deceptive,4,2,1,4,2,-2
P0011,bones,neutral,TRUE,deceptive,7,7,4,7,7,0
P0011,climate,controversial,TRUE,accurate,6,6,4,6,6,0
P0011,election,controversial,TRUE,deceptive,7,7,5,7,7,0
P0011,great_wall,neutral,FALSE,accurate,1,1,4,7,7,0
P0011,gun_control,controversial,FALSE,deceptive,3,3,4,5,5,0
P0011,lightning,neutral,FALSE,accurate,1,1,1,7,7,0
P0011,vaccines,controversial,FALSE,accurate,1,1,4,7,7,0
P0011,water_boil,neutral,TRUE,accurate,7,7,4,7,7,0
P0012,bones,neutral,TRUE,deceptive,6,5,5,6,5,-1
P0012,climate,controversial,TRUE,deceptive,7,6,5,7,6,-1
P0012,election,controversial,TRUE,deceptive,1,1,6,1,1,0
P0012,great_wall,neutral,FALSE,deceptive,7,7,6,1,1,0
P0012,gun_control,controversial,FALSE,deceptive,3,3,3,5,5,0
P0012,lightning,neutral,FALSE,deceptive,3,5,1,5,3,-2
P0012,vaccines,controversial,FALSE,deceptive,1,2,7,7,6,-1
P0012,water_boil,neutral,TRUE,accurate,7,7,6,7,7,0
P0013,bones,neutral,TRUE,deceptive,1,3,2,1,3,2
P0013,climate,controversial,TRUE,deceptive,5,3,3,5,3,-2
P0013,election,controversial,TRUE,deceptive,4,4,4,4,4,0
P0013,great_wall,neutral,FALSE,accurate,4,5,1,4,3,-1
P0013,gun_control,controversial,FALSE,accurate,2,5,4,6,3,-3
P0013,lightning,neutral,FALSE,deceptive,3,5,2,5,3,-2
P0013,vaccines,controversial,FALSE,deceptive,4,4,1,4,4,0
P0013,water_boil,neutral,TRUE,accurate,7,5,5,7,5,-2
P0014,bones,neutral,TRUE,accurate,4,4,2,4,4,0
P0014,climate,controversial,TRUE,deceptive,7,1,7,7,1,-6
P0014,election,controversial,TRUE,accurate,6,5,4,6,5,-1
P0014,great_wall,neutral,FALSE,deceptive,7,7,7,1,1,0
P0014,gun_control,controversial,FALSE,accurate,2,3,5,6,5,-1
P0014,lightning,neutral,FALSE,accurate,1,5,7,7,3,-4
P0014,vaccines,controversial,FALSE,deceptive,3,3,5,5,5,0
P0014,water_boil,neutral,TRUE,accurate,3,4,3,3,4,1
P0015,bones,neutral,TRUE,deceptive,5,1,2,5,1,-4
P0015,climate,controversial,TRUE,accurate,6,5,5,6,5,-1
P0015,election,controversial,TRUE,deceptive,2,2,5,2,2,0
P0015,great_wall,neutral,FALSE,deceptive,5,6,4,3,2,-1
P0015,gun_control,controversial,FALSE,deceptive,2,5,4,6,3,-3
P0015,lightning,neutral,FALSE,accurate,3,1,2,5,7,2
P0015,vaccines,controversial,FALSE,deceptive,1,2,4,7,6,-1
P0015,water_boil,neutral,TRUE,deceptive,5,2,2,5,2,-3
P0016,bones,neutral,TRUE,deceptive,4,4,1,4,4,0
P0016,climate,controversial,TRUE,accurate,6,6,5,6,6,0
P0016,election,controversial,TRUE,deceptive,7,7,7,7,7,0
P0016,great_wall,neutral,FALSE,deceptive,5,6,3,3,2,-1
P0016,gun_control,controversial,FALSE,deceptive,1,1,6,7,7,0
P0016,lightning,neutral,FALSE,accurate,4,5,2,4,3,-1
P0016,vaccines,controversial,FALSE,deceptive,1,1,5,7,7,0
P0016,water_boil,neutral,TRUE,deceptive,7,7,5,7,7,0
P0017,bones,neutral,TRUE,deceptive,7,5,5,7,5,-2
P0017,climate,controversial,TRUE,deceptive,7,6,4,7,6,-1
P0017,election,controversial,TRUE,deceptive,7,7,7,7,7,0
P0017,great_wall,neutral,FALSE,deceptive,6,6,2,2,2,0
P0017,gun_control,controversial,FALSE,accurate,1,1,6,7,7,0
P0017,lightning,neutral,FALSE,accurate,1,1,5,7,7,0
P0017,vaccines,controversial,FALSE,deceptive,1,4,5,7,4,-3
P0017,water_boil,neutral,TRUE,accurate,6,7,1,6,7,1
P0018,bones,neutral,TRUE,deceptive,7,7,6,7,7,0
P0018,climate,controversial,TRUE,deceptive,6,6,4,6,6,0
P0018,election,controversial,TRUE,deceptive,6,6,5,6,6,0
P0018,great_wall,neutral,FALSE,deceptive,1,1,5,7,7,0
P0018,gun_control,controversial,FALSE,accurate,2,2,4,6,6,0
P0018,lightning,neutral,FALSE,accurate,6,6,3,2,2,0
P0018,vaccines,controversial,FALSE,deceptive,1,1,5,7,7,0
P0018,water_boil,neutral,TRUE,deceptive,7,7,7,7,7,0
P0019,bones,neutral,TRUE,deceptive,4,5,3,4,5,1
P0019,climate,controversial,TRUE,deceptive,5,4,4,5,4,-1
P0019,election,controversial,TRUE,deceptive,6,4,6,6,4,-2
P0019,great_wall,neutral,FALSE,deceptive,4,5,4,4,3,-1
P0019,gun_control,controversial,FALSE,accurate,4,4,6,4,4,0
P0019,lightning,neutral,FALSE,accurate,4,3,3,4,5,1
P0019,vaccines,controversial,FALSE,deceptive,4,5,5,4,3,-1
P0019,water_boil,neutral,TRUE,deceptive,6,4,2,6,4,-2
P0020,bones,neutral,TRUE,accurate,6,6,1,6,6,0
P0020,climate,controversial,TRUE,deceptive,6,6,5,6,6,0
P0020,election,controversial,TRUE,deceptive,3,2,4,3,2,-1
P0020,great_wall,neutral,FALSE,accurate,7,6,5,1,2,1
P0020,gun_control,controversial,FALSE,deceptive,4,5,3,4,3,-1
P0020,lightning,neutral,FALSE,deceptive,3,3,2,5,5,0
P0020,vaccines,controversial,FALSE,accurate,3,2,4,5,6,1
P0020,water_boil,neutral,TRUE,deceptive,5,3,1,5,3,-2
P0021,bones,neutral,TRUE,deceptive,6,6,4,6,6,0
P0021,climate,controversial,TRUE,deceptive,3,2,2,3,2,-1
P0021,election,controversial,TRUE,accurate,6,6,5,6,6,0
P0021,great_wall,neutral,FALSE,deceptive,1,3,1,7,5,-2
P0021,gun_control,controversial,FALSE,deceptive,1,1,4,7,7,0
P0021,lightning,neutral,FALSE,deceptive,4,5,4,4,3,-1
P0021,vaccines,controversial,FALSE,accurate,2,2,5,6,6,0
P0021,water_boil,neutral,TRUE,accurate,5,6,5,5,6,1
P0022,bones,neutral,TRUE,accurate,4,4,1,4,4,0
P0022,climate,controversial,TRUE,deceptive,4,4,1,4,4,0
P0022,election,controversial,TRUE,deceptive,2,2,1,2,2,0
P0022,great_wall,neutral,FALSE,accurate,4,4,1,4,4,0
P0022,gun_control,controversial,FALSE,accurate,5,5,1,3,3,0
P0022,lightning,neutral,FALSE,accurate,4,4,1,4,4,0
P0022,vaccines,controversial,FALSE,accurate,3,4,1,5,4,-1
P0022,water_boil,neutral,TRUE,deceptive,5,3,1,5,3,-2
P0023,bones,neutral,TRUE,accurate,1,6,2,1,6,5
P0023,climate,controversial,TRUE,accurate,7,7,3,7,7,0
P0023,election,controversial,TRUE,accurate,1,7,4,1,7,6
P0023,great_wall,neutral,FALSE,deceptive,1,2,1,7,6,-1
P0023,gun_control,controversial,FALSE,deceptive,2,2,2,6,6,0
P0023,lightning,neutral,FALSE,accurate,3,3,1,5,5,0
P0023,vaccines,controversial,FALSE,accurate,1,1,2,7,7,0
P0023,water_boil,neutral,TRUE,deceptive,5,4,1,5,4,-1
P0024,bones,neutral,TRUE,deceptive,5,6,2,5,6,1
P0024,climate,controversial,TRUE,deceptive,6,4,1,6,4,-2
P0024,election,controversial,TRUE,deceptive,6,6,3,6,6,0
P0024,great_wall,neutral,FALSE,deceptive,6,6,3,2,2,0
P0024,gun_control,controversial,FALSE,deceptive,6,6,6,2,2,0
P0024,lightning,neutral,FALSE,accurate,2,6,1,6,2,-4
P0024,vaccines,controversial,FALSE,accurate,3,2,3,5,6,1
P0024,water_boil,neutral,TRUE,accurate,4,6,2,4,6,2
P0025,bones,neutral,TRUE,accurate,5,4,2,5,4,-1
P0025,climate,controversial,TRUE,deceptive,5,5,3,5,5,0
P0025,election,controversial,TRUE,accurate,3,3,4,3,3,0
P0025,great_wall,neutral,FALSE,deceptive,1,1,1,7,7,0
P0025,gun_control,controversial,FALSE,accurate,4,3,1,4,5,1
P0025,lightning,neutral,FALSE,deceptive,7,4,1,1,4,3
P0025,vaccines,controversial,FALSE,accurate,1,1,2,7,7,0
P0025,water_boil,neutral,TRUE,deceptive,7,7,7,7,7,0
P0026,bones,neutral,TRUE,deceptive,5,6,1,5,6,1
P0026,climate,controversial,TRUE,accurate,7,7,5,7,7,0
P0026,election,controversial,TRUE,deceptive,7,4,4,7,4,-3
P0026,great_wall,neutral,FALSE,accurate,1,4,1,7,4,-3
P0026,gun_control,controversial,FALSE,accurate,1,1,2,7,7,0
P0026,lightning,neutral,FALSE,deceptive,1,7,1,7,1,-6
P0026,vaccines,controversial,FALSE,accurate,1,1,3,7,7,0
P0026,water_boil,neutral,TRUE,deceptive,7,4,5,7,4,-3
P0027,bones,neutral,TRUE,deceptive,7,6,5,7,6,-1
P0027,climate,controversial,TRUE,deceptive,7,6,6,7,6,-1
P0027,election,controversial,TRUE,deceptive,4,5,5,4,5,1
P0027,great_wall,neutral,FALSE,accurate,7,6,1,1,2,1
P0027,gun_control,controversial,FALSE,accurate,2,2,7,6,6,0
P0027,lightning,neutral,FALSE,deceptive,4,5,2,4,3,-1
P0027,vaccines,controversial,FALSE,accurate,1,1,6,7,7,0
P0027,water_boil,neutral,TRUE,deceptive,7,7,6,7,7,0
P0028,bones,neutral,TRUE,accurate,3,5,4,3,5,2
P0028,climate,controversial,TRUE,deceptive,7,1,7,7,1,-6
P0028,election,controversial,TRUE,deceptive,2,3,3,2,3,1
P0028,great_wall,neutral,FALSE,accurate,7,6,5,1,2,1
P0028,gun_control,controversial,FALSE,accurate,1,2,4,7,6,-1
P0028,lightning,neutral,FALSE,accurate,4,3,2,4,5,1
P0028,vaccines,controversial,FALSE,deceptive,1,1,5,7,7,0
P0028,water_boil,neutral,TRUE,accurate,7,6,6,7,6,-1
P0029,bones,neutral,TRUE,accurate,7,7,7,7,7,0
P0029,climate,controversial,TRUE,deceptive,6,3,4,6,3,-3
P0029,election,controversial,TRUE,accurate,3,6,4,3,6,3
P0029,great_wall,neutral,FALSE,deceptive,7,7,6,1,1,0
P0029,gun_control,controversial,FALSE,deceptive,4,5,1,4,3,-1
P0029,lightning,neutral,FALSE,accurate,6,1,1,2,7,5
P0029,vaccines,controversial,FALSE,deceptive,2,2,4,6,6,0
P0029,water_boil,neutral,TRUE,accurate,7,7,5,7,7,0
P0030,bones,neutral,TRUE,deceptive,2,2,4,2,2,0
P0030,climate,controversial,TRUE,deceptive,6,5,5,6,5,-1
P0030,election,controversial,TRUE,accurate,6,6,5,6,6,0
P0030,great_wall,neutral,FALSE,deceptive,5,6,2,3,2,-1
P0030,gun_control,controversial,FALSE,deceptive,2,2,6,6,6,0
P0030,lightning,neutral,FALSE,accurate,3,2,5,5,6,1
P0030,vaccines,controversial,FALSE,accurate,2,2,6,6,6,0
P0030,water_boil,neutral,TRUE,deceptive,6,6,7,6,6,0
P0031,bones,neutral,TRUE,accurate,1,4,4,1,4,3
P0031,climate,controversial,TRUE,accurate,2,2,5,2,2,0
P0031,election,controversial,TRUE,deceptive,1,1,5,1,1,0
P0031,great_wall,neutral,FALSE,deceptive,6,6,4,2,2,0
P0031,gun_control,controversial,FALSE,deceptive,6,6,6,2,2,0
P0031,lightning,neutral,FALSE,deceptive,4,4,5,4,4,0
P0031,vaccines,controversial,FALSE,accurate,4,4,4,4,4,0
P0031,water_boil,neutral,TRUE,deceptive,6,1,2,6,1,-5
P0032,bones,neutral,TRUE,deceptive,5,4,1,5,4,-1
P0032,climate,controversial,TRUE,deceptive,7,7,1,7,7,0
P0032,election,controversial,TRUE,deceptive,3,3,1,3,3,0
P0032,great_wall,neutral,FALSE,deceptive,6,5,1,2,3,1
P0032,gun_control,controversial,FALSE,accurate,1,1,1,7,7,0
P0032,lightning,neutral,FALSE,deceptive,5,5,1,3,3,0
P0032,vaccines,controversial,FALSE,deceptive,1,1,1,7,7,0
P0032,water_boil,neutral,TRUE,accurate,5,6,1,5,6,1
P0033,bones,neutral,TRUE,deceptive,7,7,2,7,7,0
P0033,climate,controversial,TRUE,accurate,7,7,5,7,7,0
P0033,election,controversial,TRUE,deceptive,7,7,6,7,7,0
P0033,great_wall,neutral,FALSE,deceptive,4,4,1,4,4,0
P0033,gun_control,controversial,FALSE,accurate,1,1,6,7,7,0
P0033,lightning,neutral,FALSE,deceptive,3,6,1,5,2,-3
P0033,vaccines,controversial,FALSE,accurate,1,1,4,7,7,0
P0033,water_boil,neutral,TRUE,accurate,7,7,2,7,7,0
P0034,bones,neutral,TRUE,accurate,5,6,3,5,6,1
P0034,climate,controversial,TRUE,accurate,6,6,5,6,6,0
P0034,election,controversial,TRUE,deceptive,2,2,3,2,2,0
P0034,great_wall,neutral,FALSE,deceptive,1,1,4,7,7,0
P0034,gun_control,controversial,FALSE,accurate,3,3,2,5,5,0
P0034,lightning,neutral,FALSE,accurate,2,2,5,6,6,0
P0034,vaccines,controversial,FALSE,deceptive,2,2,5,6,6,0
P0034,water_boil,neutral,TRUE,accurate,6,7,5,6,7,1
P0035,bones,neutral,TRUE,accurate,7,7,4,7,7,0
P0035,climate,controversial,TRUE,accurate,2,2,4,2,2,0
P0035,election,controversial,TRUE,accurate,1,1,7,1,1,0
P0035,great_wall,neutral,FALSE,accurate,1,1,3,7,7,0
P0035,gun_control,controversial,FALSE,accurate,6,6,5,2,2,0
P0035,lightning,neutral,FALSE,accurate,3,6,2,5,2,-3
P0035,vaccines,controversial,FALSE,accurate,3,3,4,5,5,0
P0035,water_boil,neutral,TRUE,accurate,7,7,6,7,7,0
P0036,bones,neutral,TRUE,accurate,4,5,1,4,5,1
P0036,climate,controversial,TRUE,deceptive,5,5,4,5,5,0
P0036,election,controversial,TRUE,accurate,3,3,6,3,3,0
P0036,great_wall,neutral,FALSE,deceptive,2,4,3,6,4,-2
P0036,gun_control,controversial,FALSE,accurate,2,3,6,6,5,-1
P0036,lightning,neutral,FALSE,deceptive,3,3,3,5,5,0
P0036,vaccines,controversial,FALSE,accurate,1,1,5,7,7,0
P0036,water_boil,neutral,TRUE,deceptive,7,7,6,7,7,0
P0037,bones,neutral,TRUE,accurate,7,7,4,7,7,0
P0037,climate,controversial,TRUE,accurate,6,6,5,6,6,0
P0037,election,controversial,TRUE,accurate,7,7,6,7,7,0
P0037,great_wall,neutral,FALSE,deceptive,2,3,2,6,5,-1
P0037,gun_control,controversial,FALSE,deceptive,2,2,5,6,6,0
P0037,lightning,neutral,FALSE,accurate,1,1,5,7,7,0
P0037,vaccines,controversial,FALSE,accurate,1,1,5,7,7,0
P0037,water_boil,neutral,TRUE,accurate,7,7,7,7,7,0
P0038,bones,neutral,TRUE,deceptive,7,7,5,7,7,0
P0038,climate,controversial,TRUE,accurate,6,6,5,6,6,0
P0038,election,controversial,TRUE,deceptive,6,7,6,6,7,1
P0038,great_wall,neutral,FALSE,deceptive,3,5,2,5,3,-2
P0038,gun_control,controversial,FALSE,deceptive,1,1,6,7,7,0
P0038,lightning,neutral,FALSE,deceptive,5,5,2,3,3,0
P0038,vaccines,controversial,FALSE,deceptive,2,1,4,6,7,1
P0038,water_boil,neutral,TRUE,deceptive,5,4,2,5,4,-1
P0039,bones,neutral,TRUE,deceptive,6,3,2,6,3,-3
P0039,climate,controversial,TRUE,accurate,6,6,3,6,6,0
P0039,election,controversial,TRUE,deceptive,1,1,3,1,1,0
P0039,great_wall,neutral,FALSE,accurate,1,1,4,7,7,0
P0039,gun_control,controversial,FALSE,deceptive,2,4,3,6,4,-2
P0039,lightning,neutral,FALSE,accurate,4,3,2,4,5,1
P0039,vaccines,controversial,FALSE,accurate,5,3,2,3,5,2
P0039,water_boil,neutral,TRUE,accurate,7,7,5,7,7,0
P0040,bones,neutral,TRUE,deceptive,7,7,7,7,7,0
P0040,climate,controversial,TRUE,deceptive,4,4,4,4,4,0
P0040,election,controversial,TRUE,deceptive,4,4,4,4,4,0
P0040,great_wall,neutral,FALSE,accurate,7,7,7,1,1,0
P0040,gun_control,controversial,FALSE,accurate,4,4,4,4,4,0
P0040,lightning,neutral,FALSE,deceptive,1,1,7,7,7,0
P0040,vaccines,controversial,FALSE,deceptive,4,4,4,4,4,0
P0040,water_boil,neutral,TRUE,deceptive,7,7,7,7,7,0
P0041,bones,neutral,TRUE,accurate,4,6,2,4,6,2
P0041,climate,controversial,TRUE,deceptive,5,6,6,5,6,1
P0041,election,controversial,TRUE,deceptive,6,6,5,6,6,0
P0041,great_wall,neutral,FALSE,accurate,5,4,2,3,4,1
P0041,gun_control,controversial,FALSE,deceptive,3,3,4,5,5,0
P0041,lightning,neutral,FALSE,deceptive,1,2,5,7,6,-1
P0041,vaccines,controversial,FALSE,deceptive,1,2,5,7,6,-1
P0041,water_boil,neutral,TRUE,deceptive,7,6,5,7,6,-1
P0042,bones,neutral,TRUE,accurate,5,6,1,5,6,1
P0042,climate,controversial,TRUE,deceptive,2,7,6,2,7,5
P0042,election,controversial,TRUE,deceptive,6,1,6,6,1,-5
P0042,great_wall,neutral,FALSE,accurate,1,6,6,7,2,-5
P0042,gun_control,controversial,FALSE,accurate,5,2,5,3,6,3
P0042,lightning,neutral,FALSE,deceptive,4,3,4,4,5,1
P0042,vaccines,controversial,FALSE,accurate,4,3,4,4,5,1
P0042,water_boil,neutral,TRUE,accurate,1,7,1,1,7,6
P0043,bones,neutral,TRUE,deceptive,7,6,5,7,6,-1
P0043,climate,controversial,TRUE,accurate,6,6,3,6,6,0
P0043,election,controversial,TRUE,accurate,6,6,5,6,6,0
P0043,great_wall,neutral,FALSE,accurate,5,3,2,3,5,2
P0043,gun_control,controversial,FALSE,deceptive,2,3,3,6,5,-1
P0043,lightning,neutral,FALSE,deceptive,3,5,2,5,3,-2
P0043,vaccines,controversial,FALSE,accurate,1,1,4,7,7,0
P0043,water_boil,neutral,TRUE,accurate,7,6,3,7,6,-1
P0044,bones,neutral,TRUE,accurate,1,7,5,1,7,6
P0044,climate,controversial,TRUE,deceptive,7,6,3,7,6,-1
P0044,election,controversial,TRUE,deceptive,6,5,5,6,5,-1
P0044,great_wall,neutral,FALSE,deceptive,1,1,4,7,7,0
P0044,gun_control,controversial,FALSE,accurate,2,2,3,6,6,0
P0044,lightning,neutral,FALSE,deceptive,1,1,4,7,7,0
P0044,vaccines,controversial,FALSE,accurate,2,1,4,6,7,1
P0044,water_boil,neutral,TRUE,deceptive,7,5,5,7,5,-2
P0045,bones,neutral,TRUE,accurate,4,7,1,4,7,3
P0045,climate,controversial,TRUE,deceptive,5,5,3,5,5,0
P0045,election,controversial,TRUE,accurate,4,4,4,4,4,0
P0045,great_wall,neutral,FALSE,deceptive,7,7,7,1,1,0
P0045,gun_control,controversial,FALSE,deceptive,5,6,4,3,2,-1
P0045,lightning,neutral,FALSE,deceptive,5,6,4,3,2,-1
P0045,vaccines,controversial,FALSE,accurate,1,1,7,7,7,0
P0045,water_boil,neutral,TRUE,accurate,7,7,7,7,7,0
P0046,bones,neutral,TRUE,deceptive,7,6,4,7,6,-1
P0046,climate,controversial,TRUE,deceptive,6,6,6,6,6,0
P0046,election,controversial,TRUE,deceptive,3,5,4,3,5,2
P0046,great_wall,neutral,FALSE,accurate,2,1,2,6,7,1
P0046,gun_control,controversial,FALSE,accurate,2,1,3,6,7,1
P0046,lightning,neutral,FALSE,deceptive,5,6,2,3,2,-1
P0046,vaccines,controversial,FALSE,deceptive,2,3,4,6,5,-1
P0046,water_boil,neutral,TRUE,accurate,7,7,5,7,7,0
P0047,bones,neutral,TRUE,deceptive,7,2,3,7,2,-5
P0047,climate,controversial,TRUE,accurate,4,4,2,4,4,0
P0047,election,controversial,TRUE,deceptive,4,2,1,4,2,-2
P0047,great_wall,neutral,FALSE,accurate,5,2,1,3,6,3
P0047,gun_control,controversial,FALSE,deceptive,5,6,2,3,2,-1
P0047,lightning,neutral,FALSE,deceptive,1,5,1,7,3,-4
P0047,vaccines,controversial,FALSE,deceptive,5,6,3,3,2,-1
P0047,water_boil,neutral,TRUE,deceptive,7,4,1,7,4,-3
P0048,bones,neutral,TRUE,accurate,7,7,7,7,7,0
P0048,climate,controversial,TRUE,deceptive,6,6,6,6,6,0
P0048,election,controversial,TRUE,deceptive,4,4,5,4,4,0
P0048,great_wall,neutral,FALSE,deceptive,6,6,1,2,2,0
P0048,gun_control,controversial,FALSE,deceptive,2,2,2,6,6,0
P0048,lightning,neutral,FALSE,accurate,7,2,1,1,6,5
P0048,vaccines,controversial,FALSE,accurate,1,1,2,7,7,0
P0048,water_boil,neutral,TRUE,accurate,2,6,4,2,6,4
P0049,bones,neutral,TRUE,accurate,5,6,1,5,6,1
P0049,climate,controversial,TRUE,deceptive,6,6,6,6,6,0
P0049,election,controversial,TRUE,deceptive,4,3,2,4,3,-1
P0049,great_wall,neutral,FALSE,deceptive,6,7,4,2,1,-1
P0049,gun_control,controversial,FALSE,accurate,3,1,2,5,7,2
P0049,lightning,neutral,FALSE,accurate,5,6,2,3,2,-1
P0049,vaccines,controversial,FALSE,deceptive,6,6,3,2,2,0
P0049,water_boil,neutral,TRUE,accurate,5,6,4,5,6,1
P0050,bones,neutral,TRUE,deceptive,1,7,5,1,7,6
P0050,climate,controversial,TRUE,deceptive,5,5,6,5,5,0
P0050,election,controversial,TRUE,deceptive,1,1,7,1,1,0
P0050,great_wall,neutral,FALSE,deceptive,7,7,5,1,1,0
P0050,gun_control,controversial,FALSE,deceptive,1,1,1,7,7,0
P0050,lightning,neutral,FALSE,deceptive,1,1,4,7,7,0
P0050,vaccines,controversial,FALSE,accurate,1,7,6,7,1,-6
P0050,water_boil,neutral,TRUE,accurate,7,5,4,7,5,-2
P0051,bones,neutral,TRUE,deceptive,7,3,4,7,3,-4
P0051,climate,controversial,TRUE,deceptive,5,5,4,5,5,0
P0051,election,controversial,TRUE,accurate,7,7,7,7,7,0
P0051,great_wall,neutral,FALSE,accurate,2,7,3,6,1,-5
P0051,gun_control,controversial,FALSE,accurate,5,4,6,3,4,1
P0051,lightning,neutral,FALSE,accurate,2,6,2,6,2,-4
P0051,vaccines,controversial,FALSE,deceptive,1,1,7,7,7,0
P0051,water_boil,neutral,TRUE,accurate,6,7,5,6,7,1
