participant_id,trust_item_1,trust_item_2,trust_item_3,trust_item_4,trust_item_5,trust_item_6,trust_ai,critical_evaluation,literacy_item_1_response,literacy_item_2_response,literacy_item_3_response,literacy_item_4_response,literacy_item_1_correct,literacy_item_2_correct,literacy_item_3_correct,literacy_item_4_correct,ai_literacy_proportion,political_ideology
P0047,6,6,6,6,5,5,5.666666666666667,3,1,1,2,4,0,0,1,0,0.25,5
P0048,4,5,4,1,1,4,3.1666666666666665,6,2,2,2,3,1,0,1,0,0.5,3
P0049,5,6,4,4,4,4,4.5,6,1,3,2,1,0,1,1,1,0.75,4
P0050,4,3,1,1,1,1,1.8333333333333333,7,1,3,2,1,0,1,1,1,0.75,10
P0051,6,6,3,3,4,4,4.333333333333333,5,2,3,3,1,1,1,0,1,0.75,6
P0052,5,6,4,2,2,3,3.6666666666666665,3,2,,4,,1,,0,,,8
P0053,5,5,4,4,4,5,4.5,6,2,2,2,1,1,0,1,1,0.75,5
P0054,2,5,3,1,3,3,2.8333333333333335,7,1,3,2,1,0,1,1,1,0.75,3
P0055,1,1,1,1,1,1,1,7,2,1,2,1,1,0,1,1,0.75,9
P0056,3,3,1,1,1,1,1.6666666666666667,7,2,3,2,1,1,1,1,1,1,1
P0057,4,4,2,2,1,3,2.6666666666666665,5,2,3,2,1,1,1,1,1,1,3
P0058,2,5,1,1,1,4,2.3333333333333335,7,2,3,2,1,1,1,1,1,1,3
P0059,6,5,4,4,4,4,4.5,5,2,3,,,1,1,,,,1
P0060,4,5,4,5,4,1,3.8333333333333335,2,1,1,1,3,0,0,0,0,0,3
P0061,2,5,1,1,1,1,1.8333333333333333,6,2,3,2,1,1,1,1,1,1,1
P0062,4,4,2,2,2,2,2.6666666666666665,6,2,3,3,2,1,1,0,0,0.5,
P0063,4,4,4,4,4,4,4,6,2,3,2,1,1,1,1,1,1,5
P0064,2,6,2,1,1,1,2.1666666666666665,3,2,3,2,2,1,1,1,0,0.75,1
P0065,3,3,3,2,2,2,2.5,1,2,3,2,1,1,1,1,1,1,2
P0066,6,5,4,4,5,5,4.833333333333333,7,2,1,2,1,1,0,1,1,0.75,4
P0067,5,4,4,4,2,2,3.5,7,2,3,,,1,1,,,,3
P0068,3,5,4,1,3,5,3.5,6,2,3,2,,1,1,1,,1,6
P0069,5,5,3,3,3,5,4,6,2,3,2,1,1,1,1,1,1,
P0070,4,3,1,1,2,1,2,6,1,2,2,1,0,0,1,1,0.5,2
P0071,5,5,2,1,3,2,3,6,2,2,3,1,1,0,0,1,0.5,6
P0072,6,6,1,1,5,3,3.6666666666666665,1,2,,1,2,1,,0,0,0.3333333333333333,7
P0073,2,2,1,1,1,1,1.3333333333333333,7,2,1,2,1,1,0,1,1,0.75,1
P0074,5,5,6,4,4,6,5,6,2,3,2,1,1,1,1,1,1,5
P0075,5,3,4,1,1,1,2.5,5,2,3,2,1,1,1,1,1,1,2
P0076,5,5,3,1,3,3,3.3333333333333335,6,2,3,2,2,1,1,1,0,0.75,6
P0077,4,5,3,3,4,3,3.6666666666666665,5,2,3,2,1,1,1,1,1,1,8
P0078,5,5,5,2,2,4,3.8333333333333335,5,2,3,3,1,1,1,0,1,0.75,2
P0079,6,5,2,1,1,4,3.1666666666666665,6,2,3,2,1,1,1,1,1,1,5
P0080,3,5,3,1,1,3,2.6666666666666665,6,2,3,2,1,1,1,1,1,1,
P0081,6,5,4,3,2,2,3.6666666666666665,5,1,3,,,0,1,,,,0
P0082,4,4,4,4,4,4,4,6,2,3,2,1,1,1,1,1,1,5
P0083,6,5,4,2,4,4,4.166666666666667,6,2,3,3,1,1,1,0,1,0.75,2
P0084,6,6,4,1,4,4,4.166666666666667,4,2,2,3,1,1,0,0,1,0.5,1
P0085,4,4,4,4,4,4,4,7,2,2,3,1,1,0,0,1,0.5,
P0086,4,4,4,2,2,2,3,6,2,3,3,1,1,1,0,1,0.75,6
P0087,3,3,2,1,5,5,3.1666666666666665,6,2,3,2,1,1,1,1,1,1,2
P0088,5,5,4,1,4,6,4.166666666666667,4,2,3,2,2,1,1,1,0,0.75,
P0089,3,4,5,4,5,5,4.333333333333333,4,2,3,4,1,1,1,0,1,0.75,4
P0090,5,4,3,3,3,3,3.5,7,,,,,,,,,,5
P0091,7,6,4,4,4,4,4.833333333333333,5,2,2,1,1,1,0,0,1,0.5,7
P0092,4,5,4,2,4,4,3.8333333333333335,6,2,3,2,1,1,1,1,1,1,7
P0093,2,4,3,1,1,1,2,5,2,3,,1,1,1,,1,1,5
P0094,6,6,4,4,4,4,4.666666666666667,5,1,3,3,1,0,1,0,1,0.5,5
P0095,6,5,3,1,2,6,3.8333333333333335,7,2,3,2,1,1,1,1,1,1,8
P0096,5,6,2,2,2,5,3.6666666666666665,6,2,3,2,1,1,1,1,1,1,8
P0097,3,3,1,1,1,1,1.6666666666666667,7,2,3,2,1,1,1,1,1,1,2
P0098,6,6,4,4,4,4,4.666666666666667,6,2,3,2,2,1,1,1,0,0.75,6
P0099,5,5,4,1,1,1,2.8333333333333335,7,2,3,3,,1,1,0,,0.6666666666666666,5
P0100,6,7,4,4,4,4,4.833333333333333,6,2,2,,,1,0,,,,5
P0101,5,5,5,2,2,5,4,7,2,3,2,1,1,1,1,1,1,2
P0102,5,6,3,3,3,3,3.8333333333333335,7,2,3,2,1,1,1,1,1,1,10
P0103,5,6,4,1,1,2,3.1666666666666665,5,2,3,2,1,1,1,1,1,1,3
P0104,5,5,4,2,2,1,3.1666666666666665,7,2,3,2,1,1,1,1,1,1,5
P0105,2,6,2,1,1,1,2.1666666666666665,7,2,3,2,1,1,1,1,1,1,2
P0106,6,6,4,2,5,6,4.833333333333333,5,2,2,2,1,1,0,1,1,0.75,7
P0107,5,3,4,2,2,3,3.1666666666666665,6,2,,,,1,,,,,
P0108,5,5,4,3,2,2,3.5,6,2,2,2,3,1,0,1,0,0.5,1
P0109,5,5,2,1,4,4,3.5,3,1,2,2,1,0,0,1,1,0.5,5
P0110,6,6,6,6,6,6,6,5,1,3,3,1,0,1,0,1,0.5,3
P0111,3,4,1,1,1,1,1.8333333333333333,7,1,1,2,1,0,0,1,1,0.5,5
P0112,4,5,2,1,1,1,2.3333333333333335,7,2,3,2,1,1,1,1,1,1,8
P0113,3,6,1,1,3,2,2.6666666666666665,5,1,3,2,1,0,1,1,1,0.75,
P0114,5,6,4,4,4,4,4.5,7,2,4,2,1,1,0,1,1,0.75,1
P0115,5,5,4,1,2,3,3.3333333333333335,7,2,3,2,1,1,1,1,1,1,7
P0116,3,3,1,1,2,1,1.8333333333333333,7,1,3,2,1,0,1,1,1,0.75,1
P0117,4,5,2,1,1,2,2.5,7,2,3,2,1,1,1,1,1,1,1
P0118,4,5,3,3,4,6,4.166666666666667,5,2,3,2,1,1,1,1,1,1,1
P0119,5,4,2,2,3,4,3.3333333333333335,5,1,3,2,1,0,1,1,1,0.75,5
P0120,4,4,1,1,1,1,2,7,2,,,,1,,,,,1
P0121,2,5,2,1,1,1,2,5,2,3,2,,1,1,1,,1,5
P0122,5,5,4,1,2,5,3.6666666666666665,5,2,3,2,2,1,1,1,0,0.75,7
P0123,6,6,6,2,2,6,4.666666666666667,7,2,3,2,1,1,1,1,1,1,3
P0124,2,3,1,1,1,1,1.5,2,2,3,2,1,1,1,1,1,1,1
P0125,5,6,3,1,3,3,3.5,7,2,3,2,1,1,1,1,1,1,6
P0126,6,6,5,4,4,4,4.833333333333333,6,1,3,2,1,0,1,1,1,0.75,
P0127,5,6,2,1,3,3,3.3333333333333335,6,2,3,4,1,1,1,0,1,0.75,6
P0128,7,7,4,1,4,3,4.333333333333333,5,2,3,1,1,1,1,0,1,0.75,1
P0129,5,7,4,1,2,4,3.8333333333333335,5,2,2,2,1,1,0,1,1,0.75,4
P0130,5,6,5,1,1,1,3.1666666666666665,4,2,3,2,1,1,1,1,1,1,0
P0131,3,2,2,1,1,2,1.8333333333333333,6,2,3,2,,1,1,1,,1,3
P0132,5,4,3,1,1,3,2.8333333333333335,6,2,3,2,1,1,1,1,1,1,1
P0133,5,5,2,1,2,3,3,5,2,2,3,1,1,0,0,1,0.5,8
P0134,5,4,3,1,1,4,3,7,2,1,2,1,1,0,1,1,0.75,1
P0135,3,2,2,1,1,2,1.8333333333333333,6,1,3,2,2,0,1,1,0,0.5,4
P0136,6,6,4,2,3,4,4.166666666666667,7,2,1,3,1,1,0,0,1,0.5,2
P0137,5,5,4,3,4,5,4.333333333333333,4,2,2,,,1,0,,,,3
P0138,1,5,3,1,2,2,2.3333333333333335,5,2,3,2,,1,1,1,,1,1
P0139,5,5,3,1,4,4,3.6666666666666665,3,1,3,2,1,0,1,1,1,0.75,4
P0140,4,3,2,2,1,1,2.1666666666666665,7,1,3,2,1,0,1,1,1,0.75,
P0141,5,5,5,3,4,5,4.5,5,2,3,2,,1,1,1,,1,
P0142,5,5,5,4,2,4,4.166666666666667,3,2,3,2,1,1,1,1,1,1,5
P0143,5,5,5,1,1,4,3.5,5,2,3,2,1,1,1,1,1,1,5
P0144,4,4,1,1,1,1,2,7,2,,,1,1,,,1,,1
P0145,5,4,5,3,2,5,4,3,2,1,,,1,0,,,,
P0146,4,5,3,2,4,4,3.6666666666666665,6,2,1,2,1,1,0,1,1,0.75,6
P0147,4,5,5,1,1,2,3,4,1,1,2,1,0,0,1,1,0.5,2
P0148,4,5,4,2,2,4,3.5,6,2,2,,,1,0,,,,5
P0149,6,3,3,2,2,2,3,7,2,1,2,2,1,0,1,0,0.5,4
P0150,3,3,4,4,4,3,3.5,6,2,2,2,1,1,0,1,1,0.75,5
P0151,4,4,4,2,2,2,3,4,2,3,2,1,1,1,1,1,1,
P0152,1,1,1,1,1,1,1,7,2,3,2,1,1,1,1,1,1,5
P0153,5,5,4,3,2,4,3.8333333333333335,5,2,,2,1,1,,1,1,1,
P0154,1,1,1,1,1,1,1,6,2,2,1,1,1,0,0,1,0.5,2
P0155,4,5,3,1,1,4,3,6,2,3,2,1,1,1,1,1,1,2
P0156,3,4,3,1,4,4,3.1666666666666665,6,2,3,3,1,1,1,0,1,0.75,5
P0157,4,4,3,2,3,3,3.1666666666666665,3,2,,,,1,,,,,0
P0158,6,7,3,1,1,4,3.6666666666666665,7,2,2,,2,1,0,,0,0.3333333333333333,4
P0159,5,6,4,4,4,4,4.5,6,2,3,2,1,1,1,1,1,1,6
P0160,4,4,4,1,3,4,3.3333333333333335,6,2,3,2,,1,1,1,,1,6
P0161,1,1,1,1,1,1,1,7,1,3,2,1,0,1,1,1,0.75,1
P0162,6,7,5,1,4,5,4.666666666666667,6,1,3,2,1,0,1,1,1,0.75,9
P0163,6,6,5,4,4,4,4.833333333333333,2,2,1,2,,1,0,1,,0.6666666666666666,3
P0164,5,5,4,3,3,4,4,4,2,3,3,2,1,1,0,0,0.5,0
P0165,5,5,2,1,1,2,2.6666666666666665,6,2,3,2,1,1,1,1,1,1,2
P0166,5,6,4,3,1,5,4,5,1,3,2,1,0,1,1,1,0.75,4
P0167,6,5,3,1,4,2,3.5,5,1,3,2,1,0,1,1,1,0.75,3
P0168,4,6,3,1,3,5,3.6666666666666665,4,2,3,2,1,1,1,1,1,1,4
P0169,6,5,4,4,4,4,4.5,6,2,3,2,1,1,1,1,1,1,1
P0170,5,5,4,4,3,4,4.166666666666667,5,1,2,2,2,0,0,1,0,0.25,
P0171,3,3,1,1,1,4,2.1666666666666665,7,2,,2,1,1,,1,1,1,3
P0172,3,4,2,1,1,1,2,6,2,2,2,,1,0,1,,0.6666666666666666,2
P0173,5,3,2,1,1,1,2.1666666666666665,6,1,3,2,1,0,1,1,1,0.75,7
P0174,4,5,4,2,2,2,3.1666666666666665,6,1,3,2,1,0,1,1,1,0.75,2
P0175,4,3,4,2,2,1,2.6666666666666665,6,2,3,3,,1,1,0,,0.6666666666666666,2
P0176,4,4,4,4,4,4,4,4,2,3,3,1,1,1,0,1,0.75,7
P0177,2,2,2,1,1,2,1.6666666666666667,5,1,3,2,1,0,1,1,1,0.75,
P0178,4,5,1,1,1,4,2.6666666666666665,5,2,3,2,1,1,1,1,1,1,3
P0179,5,5,5,4,4,4,4.5,6,2,3,,,1,1,,,,5
P0180,4,4,4,4,4,4,4,3,1,3,2,1,0,1,1,1,0.75,
P0181,5,3,1,1,1,1,2,3,2,1,2,1,1,0,1,1,0.75,7
P0182,6,7,7,7,7,7,6.833333333333333,7,1,2,,,0,0,,,,4
P0183,4,4,4,4,4,4,4,5,3,3,3,4,0,1,0,0,0.25,7
P0184,5,4,2,2,2,3,3,3,2,3,2,1,1,1,1,1,1,8
P0185,7,7,7,7,7,7,7,3,,3,2,,,1,1,,,8
P0186,7,7,4,1,1,5,4.166666666666667,6,1,3,,,0,1,,,,7
P0187,3,4,4,4,4,4,3.8333333333333335,7,2,3,2,1,1,1,1,1,1,
P0188,6,6,6,6,6,6,6,5,1,3,,1,0,1,,1,0.6666666666666666,
P0189,5,5,4,4,4,4,4.333333333333333,4,1,3,2,1,0,1,1,1,0.75,4
P0190,3,4,4,1,3,4,3.1666666666666665,3,1,3,2,,0,1,1,,0.6666666666666666,5
P0191,7,6,3,1,2,5,4,1,1,3,1,1,0,1,0,1,0.5,7
P0192,5,5,4,4,4,4,4.333333333333333,6,2,3,2,1,1,1,1,1,1,7
P0193,5,5,5,5,2,2,4,2,2,2,2,,1,0,1,,0.6666666666666666,2
P0194,7,6,4,3,5,3,4.666666666666667,7,2,2,2,1,1,0,1,1,0.75,7
P0195,6,6,6,3,4,3,4.666666666666667,6,2,3,2,2,1,1,1,0,0.75,5
P0196,5,5,2,2,2,2,3,7,2,3,2,1,1,1,1,1,1,3
P0197,3,5,4,1,1,5,3.1666666666666665,7,1,3,2,1,0,1,1,1,0.75,7
P0198,5,6,6,6,6,6,5.833333333333333,5,2,3,2,1,1,1,1,1,1,3
P0199,5,5,5,5,5,5,5,6,1,2,2,1,0,0,1,1,0.5,5
P0200,3,3,2,5,1,2,2.6666666666666665,3,2,1,3,1,1,0,0,1,0.5,3
P0201,5,6,2,1,1,4,3.1666666666666665,4,2,3,2,1,1,1,1,1,1,3
P0202,7,7,1,1,2,4,3.6666666666666665,6,2,3,2,1,1,1,1,1,1,2
P0203,7,7,4,1,4,4,4.5,3,2,3,1,,1,1,0,,0.6666666666666666,4
P0204,1,1,1,1,1,1,1,6,2,3,2,1,1,1,1,1,1,5
P0205,3,3,4,4,4,4,3.6666666666666665,6,2,3,2,1,1,1,1,1,1,
P0206,5,3,2,1,2,4,2.8333333333333335,7,1,3,2,1,0,1,1,1,0.75,3
P0207,4,6,7,4,3,6,5,6,1,3,2,2,0,1,1,0,0.5,4
P0208,5,5,1,2,1,1,2.5,5,2,3,2,1,1,1,1,1,1,4
P0209,6,6,1,1,5,4,3.8333333333333335,2,1,3,1,1,0,1,0,1,0.5,1
P0210,6,6,5,1,4,4,4.333333333333333,6,2,3,2,1,1,1,1,1,1,5
P0211,5,5,4,1,3,5,3.8333333333333335,7,2,3,2,1,1,1,1,1,1,2
P0212,5,6,3,1,2,4,3.5,4,1,3,2,1,0,1,1,1,0.75,2
P0213,6,6,4,4,4,5,4.833333333333333,5,2,3,2,1,1,1,1,1,1,7
P0214,4,4,4,1,4,4,3.5,7,1,3,2,1,0,1,1,1,0.75,7
P0215,5,6,3,1,4,4,3.8333333333333335,6,2,3,2,1,1,1,1,1,1,1
P0216,5,5,4,1,1,4,3.3333333333333335,7,2,2,2,1,1,0,1,1,0.75,2
P0217,5,6,7,1,2,5,4.333333333333333,6,2,3,3,1,1,1,0,1,0.75,3
P0218,3,3,3,3,5,5,3.6666666666666665,6,2,3,2,1,1,1,1,1,1,
P0219,2,5,2,1,1,1,2,7,2,2,2,1,1,0,1,1,0.75,0
P0220,5,3,1,1,1,1,2,7,2,2,2,1,1,0,1,1,0.75,0
P0221,2,3,2,1,1,1,1.6666666666666667,7,1,1,2,1,0,0,1,1,0.5,0
P0222,4,4,4,4,4,4,4,4,1,1,1,2,0,0,0,0,0,2
P0223,6,7,6,1,4,5,4.833333333333333,3,2,3,3,1,1,1,0,1,0.75,3
P0224,6,7,7,1,1,1,3.8333333333333335,3,1,1,1,,0,0,0,,0,7
P0225,6,6,3,2,2,2,3.5,7,2,1,2,1,1,0,1,1,0.75,2
P0226,4,5,3,1,1,1,2.5,6,2,3,4,1,1,1,0,1,0.75,6
P0227,5,5,4,1,3,4,3.6666666666666665,3,1,2,2,1,0,0,1,1,0.5,7
P0228,4,5,2,1,1,1,2.3333333333333335,6,1,3,2,1,0,1,1,1,0.75,1
P0229,5,2,1,1,2,4,2.5,3,2,3,2,1,1,1,1,1,1,5
P0230,4,4,4,4,4,4,4,4,2,3,3,2,1,1,0,0,0.5,7
P0231,7,7,1,1,2,6,4,6,2,3,2,1,1,1,1,1,1,2
P0232,5,5,4,6,6,5,5.166666666666667,5,1,,,,0,,,,,2
P0233,6,6,5,4,4,4,4.833333333333333,5,1,2,,,0,0,,,,5
P0234,5,5,2,1,2,2,2.8333333333333335,7,2,3,2,1,1,1,1,1,1,5
P0235,4,3,4,1,1,4,2.8333333333333335,5,2,3,2,1,1,1,1,1,1,2
P0236,3,5,4,3,4,5,4,5,2,3,3,1,1,1,0,1,0.75,5
P0237,4,6,4,4,4,4,4.333333333333333,6,1,2,2,1,0,0,1,1,0.5,
P0238,7,7,6,1,5,7,5.5,5,1,3,2,1,0,1,1,1,0.75,8
P0239,5,5,4,3,3,4,4,7,1,3,2,1,0,1,1,1,0.75,3
P0240,4,4,4,4,4,4,4,5,2,2,2,1,1,0,1,1,0.75,
P0241,5,4,1,3,2,2,2.8333333333333335,7,2,3,2,1,1,1,1,1,1,5
P0242,3,2,1,1,1,1,1.5,7,2,3,2,1,1,1,1,1,1,0
P0243,6,6,4,4,4,4,4.666666666666667,3,2,3,2,2,1,1,1,0,0.75,10
P0244,3,3,1,1,1,1,1.6666666666666667,7,1,3,2,1,0,1,1,1,0.75,1
P0245,5,5,3,1,4,3,3.5,5,2,,3,,1,,0,,,1
P0246,1,4,4,4,5,3,3.5,2,1,4,3,3,0,0,0,0,0,5
P0247,4,7,6,1,1,1,3.3333333333333335,2,2,3,2,1,1,1,1,1,1,3
P0248,6,5,5,5,5,5,5.166666666666667,5,2,3,4,2,1,1,0,0,0.5,3
P0249,4,4,3,3,3,3,3.3333333333333335,5,2,3,1,1,1,1,0,1,0.75,3
P0250,4,3,1,2,3,2,2.5,7,2,3,2,1,1,1,1,1,1,3
P0251,6,5,5,5,5,5,5.166666666666667,6,2,1,2,1,1,0,1,1,0.75,5
P0252,4,4,4,4,4,4,4,4,1,3,2,,0,1,1,,0.6666666666666666,3
P0253,2,2,1,1,1,1,1.3333333333333333,7,1,3,2,1,0,1,1,1,0.75,1
P0254,4,5,4,4,3,6,4.333333333333333,4,2,3,2,1,1,1,1,1,1,7
P0255,7,7,5,3,4,3,4.833333333333333,3,1,3,2,1,0,1,1,1,0.75,10
P0256,7,6,5,4,5,7,5.666666666666667,5,2,3,2,1,1,1,1,1,1,7
P0257,1,1,1,1,1,1,1,6,2,2,3,1,1,0,0,1,0.5,1
P0258,5,5,3,5,3,4,4.166666666666667,6,2,3,2,1,1,1,1,1,1,5
P0259,5,5,4,4,4,4,4.333333333333333,6,2,3,2,2,1,1,1,0,0.75,7
P0260,7,7,4,4,4,1,4.5,6,2,,,,1,,,,,6
P0261,2,3,4,1,1,2,2.1666666666666665,7,1,3,2,1,0,1,1,1,0.75,2
P0262,4,4,4,4,2,4,3.6666666666666665,6,1,2,2,4,0,0,1,0,0.25,
P0263,2,1,1,1,1,1,1.1666666666666667,7,1,2,2,1,0,0,1,1,0.5,6
P0264,4,5,4,3,2,3,3.5,6,2,3,2,1,1,1,1,1,1,0
P0265,4,5,3,1,2,2,2.8333333333333335,6,1,3,2,1,0,1,1,1,0.75,2
P0266,2,5,1,1,1,4,2.3333333333333335,7,2,3,2,1,1,1,1,1,1,3
P0267,4,5,4,1,4,4,3.6666666666666665,7,2,3,2,2,1,1,1,0,0.75,6
P0268,4,5,3,5,4,3,4,6,2,3,2,1,1,1,1,1,1,
P0269,4,5,2,1,2,4,3,6,3,3,2,,0,1,1,,0.6666666666666666,5
P0270,4,5,2,1,1,1,2.3333333333333335,3,2,3,2,2,1,1,1,0,0.75,4
P0271,7,7,1,1,7,1,4,3,2,3,2,1,1,1,1,1,1,1
P0272,4,4,4,4,4,4,4,6,2,2,2,1,1,0,1,1,0.75,
P0273,3,3,3,1,2,3,2.5,5,2,1,2,2,1,0,1,0,0.5,4
P0274,2,3,1,1,1,1,1.5,7,2,3,2,1,1,1,1,1,1,1
P0275,4,4,4,4,4,4,4,6,1,3,2,1,0,1,1,1,0.75,4
P0276,4,5,5,4,4,5,4.5,4,1,1,2,,0,0,1,,0.3333333333333333,9
P0277,3,5,3,2,1,2,2.6666666666666665,6,1,3,2,,0,1,1,,0.6666666666666666,2
P0278,5,5,4,4,4,4,4.333333333333333,6,2,3,,1,1,1,,1,1,2
P0279,3,5,4,2,4,4,3.6666666666666665,5,2,3,2,1,1,1,1,1,1,4
P0280,4,4,4,4,4,4,4,6,2,1,,,1,0,,,,1
P0281,5,5,4,4,4,4,4.333333333333333,4,2,2,2,1,1,0,1,1,0.75,4
P0282,6,6,4,1,1,1,3.1666666666666665,5,2,,2,1,1,,1,1,1,6
P0283,5,5,4,1,3,3,3.5,5,2,3,2,1,1,1,1,1,1,7
P0284,4,4,4,4,4,4,4,6,2,2,2,1,1,0,1,1,0.75,3
P0285,5,5,3,1,1,3,3,6,2,3,2,,1,1,1,,1,3
P0286,2,3,2,6,2,2,2.8333333333333335,5,1,1,1,1,0,0,0,1,0.25,2
P0287,4,4,4,4,4,4,4,4,2,1,,,1,0,,,,5
P0288,3,4,3,2,4,5,3.5,3,2,3,,,1,1,,,,2
P0289,5,6,4,3,4,5,4.5,5,2,3,1,1,1,1,0,1,0.75,7
P0290,5,6,4,5,6,5,5.166666666666667,7,2,3,2,1,1,1,1,1,1,4
P0291,5,4,4,4,4,4,4.166666666666667,6,2,2,2,1,1,0,1,1,0.75,4
P0292,1,1,1,1,1,1,1,7,1,3,2,1,0,1,1,1,0.75,1
P0293,6,7,7,4,3,5,5.333333333333333,5,4,3,2,1,0,1,1,1,0.75,7
P0294,4,4,4,4,4,4,4,4,1,,,,0,,,,,8
P0295,5,5,5,4,3,5,4.5,7,2,3,2,1,1,1,1,1,1,6
P0296,5,5,2,1,1,1,2.5,5,2,1,2,,1,0,1,,0.6666666666666666,1
P0297,5,5,4,4,2,3,3.8333333333333335,6,1,1,2,1,0,0,1,1,0.5,3
P0298,5,5,5,1,4,4,4,6,2,2,2,1,1,0,1,1,0.75,8
P0299,4,4,2,2,3,4,3.1666666666666665,6,2,1,2,2,1,0,1,0,0.5,
P0300,4,4,1,1,1,4,2.5,7,2,3,2,1,1,1,1,1,1,5
P0301,5,6,2,1,1,4,3.1666666666666665,6,2,2,2,1,1,0,1,1,0.75,1
P0302,5,5,5,5,5,5,5,7,2,3,2,1,1,1,1,1,1,2
P0303,4,5,2,1,1,1,2.3333333333333335,4,2,2,2,1,1,0,1,1,0.75,3
P0304,5,4,3,1,1,1,2.5,6,1,3,2,1,0,1,1,1,0.75,1
P0305,3,5,4,3,3,4,3.6666666666666665,2,2,2,2,1,1,0,1,1,0.75,1
P0306,5,5,5,5,3,3,4.333333333333333,5,2,3,,,1,1,,,,5
